"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code","country_code","cc2","admin1_code","admin2_code","admin3_code","admin4_code","population","elevation","dem","timezone","modification_date"
5284740,"Bankhead Springs","Bankhead Springs","",32.6498,-116.244,"P","PPL","US","","CA","073","","",0,1010,1015,"America/Los_Angeles","2006-01-15"
5284756,"Fillmore","Fillmore","Fillmor,Filmor,fei er mo er,flmwr  kylyfwrnya,fyl mwr  kalyfrnya,fylmwry,philamora,Филмор,Філлмор,فلمور، کیلیفورنیا,فيلموري,فیل مور، کالیفرنیا,फिलमोर,菲尔莫尔",34.3992,-118.918,"P","PPL","US","","CA",111,"","",15548,139,143,"America/Los_Angeles","2017-03-09"
5284780,"Brazos","Brazos","",38.2082,-122.306,"P","PPL","US","","CA","055","","",0,1,1,"America/Los_Angeles","2006-01-15"
5284782,"Briggs Terrace","Briggs Terrace","",34.2408,-118.227,"P","PPL","US","","CA","037","","",0,727,728,"America/Los_Angeles","2006-01-15"
5284786,"Brooks","Brooks","",38.7416,-122.148,"P","PPL","US","","CA",113,"","",0,104,102,"America/Los_Angeles","2006-01-15"
5284828,"Clarksburg","Clarksburg","Clarksburg,Clarksburgh",38.4205,-121.527,"P","PPL","US","","CA",113,"","",418,3,7,"America/Los_Angeles","2011-05-14"
5284832,"Cool","Cool","Cave Valley,Cool",38.8872,-121.015,"P","PPL","US","","CA","017","","",4100,467,468,"America/Los_Angeles","2017-03-02"
5284860,"Desert Lake","Desert Lake","",35.0025,-117.699,"P","PPL","US","","CA","029","","",0,732,735,"America/Los_Angeles","2006-01-15"
5284880,"Encinal","Encinal","",39.2155,-121.662,"P","PPL","US","","CA",101,"","",0,21,19,"America/Los_Angeles","2006-01-15"
5284896,"Fruitvale","Fruitvale","",35.3833,-119.083,"P","PPL","US","","CA","029","","",0,121,123,"America/Los_Angeles","2006-01-15"
5284902,"Goodyears Bar","Goodyears Bar","Goodyear's Bar,Goodyears Bar,Slaughter's Bar",39.5399,-120.884,"P","PPL","US","","CA","091","","",68,815,825,"America/Los_Angeles","2011-05-14"
5284918,"Hanford Hill","Hanford Hill","Hanford Hill,Hanford Hill Acres",38.1744,-120.404,"P","PPL","US","","CA","009","","",0,1001,1004,"America/Los_Angeles","2006-01-15"
5284938,"Havilah","Havilah","",35.5177,-118.519,"P","PPL","US","","CA","029","","",0,956,959,"America/Los_Angeles","2006-01-15"
5284952,"Hydril","Hydril","",36.0127,-120.098,"P","PPL","US","","CA","031","","",0,319,308,"America/Los_Angeles","2010-02-19"
5284958,"Irwin","Irwin","",37.3969,-120.85,"P","PPL","US","","CA","047","","",0,30,30,"America/Los_Angeles","2006-01-15"
5285000,"Los Guilicos","Los Guilicos","",38.4266,-122.582,"P","PPLX","US","","CA","097","","",0,141,142,"America/Los_Angeles","2018-04-18"
5285018,"Middletown","Middletown","Middle Station,Middleton,Middletown,Midltaun,midalata'una,midorutaun,Мидлтаун,مڈل ٹاؤن، کیلیفورنیا,मिडलटाउन,ミドルタウン",38.7524,-122.615,"P","PPL","US","","CA","033","","",1323,335,336,"America/Los_Angeles","2011-05-14"
